Date,AGG,GLD,SPY,BTC-USD
2023-05-09,93.63530731201172,189.02000427246094,402.5269470214844,27658.775390625
2023-05-10,94.24058532714844,188.75,404.40771484375,27621.755859375
2023-05-11,94.52428436279297,187.1300048828125,403.702392578125,27000.7890625
2023-05-12,93.99468994140625,186.80999755859375,403.1734619140625,26804.990234375
2023-05-15,93.75826263427734,187.2100067138672,404.5644226074219,27192.693359375
2023-05-16,93.5407485961914,184.8699951171875,401.8608703613281,27036.650390625
2023-05-17,93.39888763427734,184.22999572753906,406.73907470703125,27398.802734375
2023-05-18,92.96385955810547,181.83999633789062,410.6572265625,26832.208984375
2023-05-19,92.75582122802734,183.63999938964844,410.0596923828125,26890.12890625
2023-05-22,92.67066955566406,183.2100067138672,410.22625732421875,26851.27734375
2023-05-23,92.77471160888672,183.42999267578125,405.622314453125,27225.7265625
2023-05-24,92.53828430175781,181.9499969482422,402.6836853027344,26334.818359375
2023-05-25,92.19783020019531,180.1999969482422,406.1708984375,26476.20703125
2023-05-26,92.27347564697266,180.9199981689453,411.43109130859375,26719.291015625
2023-05-30,92.88819122314453,182.0399932861328,411.5877990722656,27702.349609375
2023-05-31,93.21920776367188,182.32000732421875,409.3054504394531,27219.658203125
2023-06-01,93.50176239013672,183.75999450683594,413.1943054199219,26819.97265625
2023-06-02,93.00868225097656,181.0500030517578,419.1695861816406,27249.58984375
2023-06-05,92.99922943115234,182.13999938964844,418.3663635253906,25760.09765625
2023-06-06,93.11299133300781,182.33999633789062,419.27728271484375,27238.783203125
2023-06-07,92.61994171142578,180.14999389648438,417.8275451660156,26345.998046875
2023-06-08,93.11299133300781,182.52999877929688,420.35479736328125,26508.216796875
2023-06-09,92.89492797851562,182.0399932861328,421.1090393066406,26480.375
2023-06-12,93.05610656738281,181.8800048828125,424.9292907714844,25902.5
2023-06-13,92.61994171142578,180.5399932861328,427.7308349609375,25918.728515625
2023-06-14,92.70527648925781,180.63999938964844,428.24017333984375,25124.67578125
2023-06-15,93.35003662109375,181.91000366210938,433.5493469238281,25576.39453125
2023-06-16,93.05610656738281,181.6300048828125,432.0726013183594,26327.462890625
2023-06-20,93.22679138183594,179.75,429.8309326171875,28327.48828125
2023-06-21,93.37850189208984,179.49000549316406,427.62860107421875,30027.296875
2023-06-22,92.89492797851562,177.7100067138672,429.1722106933594,29912.28125
2023-06-23,93.16988372802734,178.1999969482422,425.92767333984375,30695.46875
2023-06-26,93.28367614746094,178.50999450683594,424.18743896484375,30271.130859375
2023-06-27,93.10352325439453,177.69000244140625,428.837890625,30688.1640625
2023-06-28,93.37850189208984,177.27999877929688,429.05419921875,30086.24609375
2023-06-29,92.65786743164062,177.08999633789062,430.74530029296875,30445.3515625
2023-06-30,92.87594604492188,178.27000427246094,435.828369140625,30477.251953125
2023-07-03,92.76663208007812,178.47000122070312,436.329833984375,31156.439453125
2023-07-05,92.34832000732422,177.83999633789062,435.680908203125,30514.166015625
2023-07-06,91.7494125366211,177.30999755859375,432.2692565917969,29909.337890625
2023-07-07,91.76842498779297,178.63999938964844,431.1778869628906,30342.265625
2023-07-10,92.02510070800781,178.77999877929688,432.2692565917969,30414.470703125
2023-07-11,92.22473907470703,179.4499969482422,435.0221862792969,30620.951171875
2023-07-12,92.97577667236328,181.8800048828125,438.5223388671875,30391.646484375
2023-07-13,93.55567932128906,182.00999450683594,442.0028076171875,31476.048828125
2023-07-14,93.10887145996094,181.42999267578125,441.7275085449219,30334.068359375
2023-07-17,93.21343231201172,181.55999755859375,443.26129150390625,30145.888671875
2023-07-18,93.28948211669922,183.63999938964844,446.5550231933594,29856.5625
2023-07-19,93.5746841430664,183.6699981689453,447.5480041503906,29913.923828125
2023-07-20,93.08985137939453,182.74000549316406,444.5787353515625,29792.015625
2023-07-21,93.15637969970703,182.17999267578125,444.5787353515625,29908.744140625
2023-07-24,92.98527526855469,181.39999389648438,446.5648498535156,29176.916015625
2023-07-25,92.88069152832031,182.41000366210938,447.7839660644531,29227.390625
2023-07-26,93.18492126464844,183.3000030517578,447.8528137207031,29354.97265625
2023-07-27,92.38636779785156,180.4199981689453,444.8835754394531,29210.689453125
2023-07-28,92.74759674072266,181.86000061035156,449.23907470703125,29319.24609375
2023-07-31,92.8616943359375,182.35000610351562,450.0944519042969,29230.111328125
2023-08-01,92.2468490600586,180.4600067138672,448.8064880371094,29675.732421875
2023-08-02,92.027587890625,179.60000610351562,442.563232421875,29151.958984375
2023-08-03,91.40797424316406,179.5399932861328,441.2948913574219,29178.6796875
